Program,University,Country,Field,Open now?,Key English rule,Fees (tuition),Next deadline,Application link
M.Sc. Data Science & AI,Saarland University,Germany,AI / Data,"Yes (deadline Nov 15, 2025)",Lectures in English; page does not list per-band minima,No tuition; semester fee ~€394.30 (WS25/26),2025-11-15,https://saarland-informatics-campus.de/en/studium-studies/data-science-and-artificial-intelligence-master/
M.Sc. Artificial Intelligence Engineering,University of Passau,Germany,AI / Engineering,"Yes (deadline Dec 15, 2025)",English B2+,No tuition; semester fee ~€123.70 (SS26),2025-12-15,https://www.uni-passau.de/en/msc-ai-eng
M.Sc. Computer Science,TU Delft,Netherlands,Software / CS,"Yes (deadline Jan 15, 2026)",Typical MSc: IELTS ≥7.0 with ≥6.5 each (programme regs),Standard NL non‑EU tuition (see TU Delft fee tables),2026-01-15,https://www.tudelft.nl/onderwijs/opleidingen/masters/cs/msc-computer-science/admission-and-application/non-eu-efta-applicants-with-an-international-bachelor-degree
M.Sc. Artificial Intelligence,University of Amsterdam,Netherlands,AI,"Yes (deadline Jan 31, 2026)",IELTS 7.0 with ≥6.5 each (Faculty of Science),NL tuition (see UvA fee tables),2026-01-31,https://www.uva.nl/shared-content/programmas/en/masters/artificial-intelligence/application-and-admission/application-and-admission.html
M.Sc. Computer Science,University of Tartu,Estonia,Computer Science,"Opens Jan 2, 2026 (deadline Mar 15, 2026)","IELTS ≥6.0, no band <5.5","€6,000/year",2026-03-15,https://ut.ee/en/content/bachelors-and-masters-studies-university-tartu
"M.Sc. Cyber Security (EIT Digital, double degree)",EIT Digital Master School,Multi‑EU,Cybersecurity,"Yes (Period 1 closes Feb 11, 2026)",IELTS ≥6.5 and no section <6.0,Fee‑paying programme; scholarships available,2026-02-11,https://masterschool.eitdigital.eu/cyber-security
MSc Blockchain & Digital Currency,University of Nicosia,Cyprus (online),Blockchain / Web3,Yes (Next start: Feb 2026),Standard MSc English (see UNIC),"≈€14,560 total (check current page)",2026-02-01,https://www.unic.ac.cy/iff/education-and-training/master-degrees/msc-in-blockchain-and-digital-currency/
M.Sc. in Blockchain & DLT (ICT stream),University of Malta,Malta,Blockchain / DLT,Next cycle not yet posted (monitor UM Dates & Deadlines),Typically IELTS ≥6.5 overall (confirm per cycle),Published per cycle; historically moderate,,https://www.um.edu.mt/dlt/masters/
M.Sc. Quantum Information Science (joint KU/DTU),University of Copenhagen (admission) & DTU,Denmark,Quantum / CS / Physics,"Opens Nov 15, 2025 (deadline Jan 15, 2026)",UCPH MSc English proof; IELTS/TOEFL within 2 years,Non‑EU tuition per Danish rules,2026-01-15,https://science.ku.dk/english/qa/application-process-non-eu/
MSc Machine Learning,KTH Royal Institute of Technology,Sweden,AI / Machine Learning,Yes (Autumn 2026 via UniversityAdmissions),"English 6 (IELTS ≥6.5, no band <5.5)","≈ SEK 360,000 total (SEK 180,000/yr)",2026-01-15,https://www.kth.se/en/studies/master/machine-learning
